Player,usless,Tm,aG,aTS%,aAST%,aTOV%,aUSG%,aVORP
Alex Abrines,abrinal01,OKC,22,.502,4.6,12.8,17.8,-0.3
Quincy Acy,acyqu01,DAL,6,.355,0.0,9.8,20.1,-0.2
Steven Adams,adamsst01,OKC,29,.618,4.0,17.3,16.4,0.5
Arron Afflalo,afflaar01,SAC,25,.516,6.9,4.8,14.2,-0.3
Alexis Ajinca,ajincal01,NOP,19,.493,4.0,15.6,16.6,-0.2
Cole Aldrich,aldrico01,MIN,26,.596,6.3,11.3,9.2,0.4
LaMarcus Aldridge,aldrila01,SAS,26,.530,10.0,9.5,24.5,0.4
Lavoy Allen,allenla01,IND,27,.341,9.8,11.5,8.6,0.0
Tony Allen,allento01,MEM,24,.503,6.2,12.2,18.4,0.5
Al-Farouq Aminu,aminual01,POR,13,.383,9.8,16.1,16.2,-0.1
Chris Andersen,anderch01,CLE,12,.497,6.0,15.1,12.9,0.1
Alan Anderson,anderal01,LAC,8,.407,4.7,12.6,12.3,-0.1
Justin Anderson,anderju01,DAL,27,.501,6.9,12.5,22.8,-0.1
Kyle Anderson,anderky01,SAS,25,.558,8.8,14.1,9.8,0.3
Ryan Anderson,anderry01,HOU,30,.563,4.7,7.6,17.8,0.2
Giannis Antetokounmpo,antetgi01,MIL,27,.602,28.8,14.2,28.2,2.9
Carmelo Anthony,anthoca01,NYK,28,.538,14.5,8.1,28.7,0.5
Trevor Ariza,arizatr01,HOU,30,.579,8.0,8.1,15.3,1.3
Darrell Arthur,arthuda01,DEN,13,.567,12.3,20.9,15.7,0.0
Omer Asik,asikom01,NOP,28,.517,4.5,12.7,8.9,-0.1
D.J. Augustin,augusdj01,ORL,31,.531,23.7,12.1,20.2,-0.1
Luke Babbitt,babbilu01,MIA,23,.459,3.9,7.7,13.8,-0.2
Ron Baker,bakerro01,NYK,10,.428,14.0,16.8,21.6,-0.1
Wade Baldwin,baldwwa01,MEM,20,.413,23.9,24.3,19.2,-0.2
Leandro Barbosa,barbole01,PHO,28,.534,12.6,5.1,19.0,-0.1
J.J. Barea,bareajo01,DAL,11,.529,32.7,11.2,25.2,0.2
Harrison Barnes,barneha02,DAL,29,.531,7.0,6.5,26.8,-0.1
