Player,useless,Pos,Age,Tm,G,GS,FG,FGA,FG%,eFG%,FT,FTA,FT%,AST,STL,BLK,TOV,PS/G
Alex Abrines,abrinal01,SG,23,OKC,22,0,1.6,4.4,.365,.469,0.6,0.7,.867,0.4,0.3,0.0,0.7,4.7
Quincy Acy,acyqu01,PF,26,DAL,6,0,0.8,2.8,.294,.324,0.3,0.5,.667,0.0,0.0,0.0,0.3,2.2
Steven Adams,adamsst01,C,23,OKC,29,29,4.7,8.0,.582,.582,2.3,3.2,.723,0.8,1.3,0.9,2.0,11.7
Arron Afflalo,afflaar01,SG,31,SAC,25,18,2.7,6.5,.411,.463,1.4,1.6,.897,1.1,0.3,0.0,0.4,7.4
Alexis Ajinca,ajincal01,C,28,NOP,19,9,2.0,4.3,.469,.469,0.5,0.6,.750,0.4,0.4,0.6,0.8,4.5
Cole Aldrich,aldrico01,C,28,MIN,26,0,1.2,2.1,.564,.564,0.5,0.7,.722,0.6,0.6,0.6,0.3,2.9
LaMarcus Aldridge,aldrila01,PF,31,SAS,26,26,6.3,13.7,.463,.478,3.3,3.9,.833,1.9,0.7,1.0,1.6,16.3
Lavoy Allen,allenla01,PF,27,IND,27,0,0.7,2.2,.322,.322,0.1,0.2,.667,1.0,0.3,0.3,0.3,1.6
Tony Allen,allento01,SG,35,MEM,24,22,4.2,9.0,.470,.477,1.4,2.1,.667,1.0,1.8,0.5,1.4,10.0
Al-Farouq Aminu,aminual01,SF,26,POR,13,10,2.0,6.8,.292,.360,0.9,1.8,.522,1.8,1.3,0.6,1.5,5.8
Chris Andersen,anderch01,C,38,CLE,12,0,0.8,1.8,.409,.409,0.8,1.2,.714,0.4,0.4,0.6,0.4,2.3
Alan Anderson,anderal01,SF,34,LAC,8,0,0.8,2.5,.300,.400,0.1,0.3,.500,0.4,0.1,0.0,0.4,2.1
Justin Anderson,anderju01,SF,23,DAL,27,2,2.6,6.8,.383,.443,1.8,2.3,.778,0.7,0.6,0.4,1.1,7.8
Kyle Anderson,anderky01,SG,23,SAS,25,7,1.0,2.1,.453,.500,0.6,0.7,.833,0.8,0.8,0.3,0.4,2.7
Ryan Anderson,anderry01,PF,28,HOU,30,30,4.5,11.0,.410,.529,1.7,2.0,.881,1.0,0.5,0.2,1.0,13.3
Giannis Antetokounmpo,antetgi01,SG,22,MIL,27,27,8.2,15.8,.520,.543,5.7,7.2,.785,5.8,2.1,2.0,3.1,22.9
