"","Player","Pos","Age","Tm","G","GS","FG","FGA","FG.","eFG.","FT","FTA","FT.","AST","STL","BLK","TOV","PS.G","tG","tGS","tFG","tFGA","tFG.","teFG.","tFT","tFTA","tFT.","tAST","tTOV","tPTS","aG","aTS.","aAST.","aTOV.","aUSG.","aVORP","GP","W","L","Min","PassesMade","PassesReceived","Ast","FTAst","SecondaryAst","PotentialAst","AstPtsCreated","AstAdj","AstToPassRatio","AstToPassRatioAdj","PSR"
"1","Steven Adams","C",23,"OKC",29,29,4.7,8,0.582,0.582,2.3,3.2,0.723,0.8,1.3,0.9,2,11.7,29,29,135,232,0.582,0.582,68,94,0.723,23,57,338,29,0.618,4,17.3,16.4,0.5,29,17,12,862,720,577,23,3,13,67,58,39,3.2,5.4,2.42
"2","Arron Afflalo","SG",31,"SAC",25,18,2.7,6.5,0.411,0.463,1.4,1.6,0.897,1.1,0.3,0,0.4,7.4,25,18,67,163,0.411,0.463,35,39,0.897,27,9,186,25,0.516,6.9,4.8,14.2,-0.3,25,10,15,597,498,546,27,4,11,63,69,42,5.4,8.4,3.02
"3","LaMarcus Aldridge","PF",31,"SAS",26,26,6.3,13.7,0.463,0.478,3.3,3.9,0.833,1.9,0.7,1,1.6,16.3,26,26,165,356,0.463,0.478,85,102,0.833,49,42,425,26,0.53,10,9.5,24.5,0.4,26,20,6,824,898,970,49,6,13,106,127,68,5.5,7.6,2.3
"4","Tony Allen","SG",35,"MEM",24,22,4.2,9,0.47,0.477,1.4,2.1,0.667,1,1.8,0.5,1.4,10,24,22,101,215,0.47,0.477,34,51,0.667,23,33,239,24,0.503,6.2,12.2,18.4,0.5,23,14,9,631,503,443,22,7,9,45,53,38,4.4,7.6,2.06
"5","Ryan Anderson","PF",28,"HOU",30,30,4.5,11,0.41,0.529,1.7,2,0.881,1,0.5,0.2,1,13.3,30,30,135,329,0.41,0.529,52,59,0.881,30,29,400,30,0.563,4.7,7.6,17.8,0.2,30,22,8,924,921,844,30,0,13,65,79,44,3.3,4.8,2.6
"6","Giannis Antetokounmpo","SG",22,"MIL",27,27,8.2,15.8,0.52,0.543,5.7,7.2,0.785,5.8,2.1,2,3.1,22.9,27,27,222,427,0.52,0.543,153,195,0.785,156,85,617,27,0.602,28.8,14.2,28.2,2.9,26,12,14,907,1466,1493,153,13,27,289,378,193,10.4,13.2,2.98
"7","Carmelo Anthony","SF",32,"NYK",28,28,8,18.7,0.429,0.484,4.4,5,0.872,2.9,1,0.4,1.9,22.5,28,28,225,524,0.429,0.484,123,141,0.872,81,52,630,28,0.538,14.5,8.1,28.7,0.5,28,16,12,956,945,1171,81,6,13,145,193,100,8.6,10.6,1.73
"8","Trevor Ariza","SF",31,"HOU",30,30,4.6,10.4,0.438,0.569,0.9,1.3,0.667,1.9,2.1,0.3,1,12.7,30,30,137,313,0.438,0.569,26,39,0.667,56,29,382,30,0.579,8,8.1,15.3,1.3,30,22,8,1004,873,772,56,3,17,99,135,76,6.4,8.7,2.75
"9","D.J. Augustin","PG",29,"ORL",31,15,2.9,7.4,0.391,0.487,1.5,1.8,0.836,3.1,0.5,0,1.1,8.7,31,15,90,230,0.391,0.487,46,55,0.836,95,35,270,31,0.531,23.7,12.1,20.2,-0.1,31,13,18,640,1101,1323,95,12,22,181,229,129,8.6,11.7,4.51
"10","Harrison Barnes","SF",24,"DAL",29,29,8.2,17.7,0.464,0.491,3.1,3.6,0.864,1.3,0.9,0.2,1.3,20.4,29,29,238,513,0.464,0.491,89,103,0.864,37,39,593,29,0.531,7,6.5,26.8,-0.1,29,8,21,1057,898,1063,37,5,9,100,108,51,4.1,5.7,1.69
"11","Matt Barnes","SF",36,"SAC",27,6,2.4,6.9,0.357,0.441,0.9,1.3,0.667,2.5,0.8,0.4,1.5,6.9,27,6,66,185,0.357,0.441,24,36,0.667,68,41,187,27,0.466,15.1,17,16.1,0.1,27,11,16,670,1001,716,68,4,18,115,157,90,6.8,9,4.69
"12","Will Barton","SG",26,"DEN",17,13,5.1,11.5,0.439,0.497,2.8,3.9,0.727,2.4,0.9,0.5,1.9,14.3,17,13,86,196,0.439,0.497,48,66,0.727,40,32,243,17,0.54,11.9,12.4,20.7,0.2,17,8,9,522,516,623,40,6,12,95,101,58,7.8,11.2,2.42
"13","Kent Bazemore","SF",27,"ATL",27,24,3.9,10.7,0.368,0.418,1.6,2.3,0.698,2.6,1.4,0.7,1.7,10.6,27,24,106,288,0.368,0.418,44,63,0.698,70,45,285,27,0.451,14.4,12.5,21.4,0,26,11,15,711,732,838,69,5,24,109,158,98,9.4,13.4,2.4
"14","Bradley Beal","SG",23,"WAS",25,25,7.8,17.2,0.455,0.537,4.2,5.2,0.806,3.5,1,0.3,1.7,22.7,25,25,196,431,0.455,0.537,104,129,0.806,88,42,567,25,0.581,16.7,7.9,26.6,0.7,25,13,12,874,727,1059,88,3,18,160,188,107,12.1,14.7,1.71
"15","Patrick Beverley","SG",28,"HOU",19,19,3.3,7.5,0.434,0.531,0.5,0.7,0.714,4.8,1.4,0.5,1.5,8.5,19,19,62,143,0.434,0.531,10,14,0.714,91,29,162,19,0.543,21.4,16.3,13.1,0.8,19,16,3,583,734,719,91,8,18,172,231,118,12.4,16.1,5.19
"16","Bismack Biyombo","C",24,"ORL",30,15,2.2,4.4,0.496,0.496,1.8,3.7,0.482,1.2,0.3,1.6,1.4,6.2,30,15,66,133,0.496,0.496,54,112,0.482,36,41,186,30,0.51,6.6,18.4,12.6,0.1,30,13,17,794,1134,692,36,1,18,79,88,55,3.2,4.9,5.51
"17","Andrew Bogut","C",32,"DAL",16,16,1.8,3.8,0.475,0.475,0.2,0.7,0.273,2.2,0.6,0.9,1.8,3.8,16,16,29,61,0.475,0.475,3,11,0.273,35,28,61,16,0.463,13.5,29.8,11.1,0.2,16,4,12,400,605,366,35,1,8,84,84,44,5.8,7.3,7.43
