Player,useless,Tm,tG,tGS,tFG,tFGA,tFG%,teFG%,tFT,tFTA,tFT%,tAST,tTOV,tPTS
Alex Abrines,abrinal01,OKC,22,0,35,96,.365,.469,13,15,.867,9,15,103
Quincy Acy,acyqu01,DAL,6,0,5,17,.294,.324,2,3,.667,0,2,13
Steven Adams,adamsst01,OKC,29,29,135,232,.582,.582,68,94,.723,23,57,338
Arron Afflalo,afflaar01,SAC,25,18,67,163,.411,.463,35,39,.897,27,9,186
Alexis Ajinca,ajincal01,NOP,19,9,38,81,.469,.469,9,12,.750,7,16,85
Cole Aldrich,aldrico01,MIN,26,0,31,55,.564,.564,13,18,.722,15,8,75
LaMarcus Aldridge,aldrila01,SAS,26,26,165,356,.463,.478,85,102,.833,49,42,425
Lavoy Allen,allenla01,IND,27,0,19,59,.322,.322,4,6,.667,26,8,42
Tony Allen,allento01,MEM,24,22,101,215,.470,.477,34,51,.667,23,33,239
Al-Farouq Aminu,aminual01,POR,13,10,26,89,.292,.360,12,23,.522,23,19,76
Chris Andersen,anderch01,CLE,12,0,9,22,.409,.409,10,14,.714,5,5,28
Alan Anderson,anderal01,LAC,8,0,6,20,.300,.400,1,2,.500,3,3,17
Justin Anderson,anderju01,DAL,27,2,70,183,.383,.443,49,63,.778,20,30,211
Kyle Anderson,anderky01,SAS,25,7,24,53,.453,.500,15,18,.833,21,10,68
Ryan Anderson,anderry01,HOU,30,30,135,329,.410,.529,52,59,.881,30,29,400
Giannis Antetokounmpo,antetgi01,MIL,27,27,222,427,.520,.543,153,195,.785,156,85,617
Carmelo Anthony,anthoca01,NYK,28,28,225,524,.429,.484,123,141,.872,81,52,630
Trevor Ariza,arizatr01,HOU,30,30,137,313,.438,.569,26,39,.667,56,29,382
Darrell Arthur,arthuda01,DEN,13,3,23,52,.442,.558,2,2,1.000,15,14,60
Omer Asik,asikom01,NOP,28,18,31,65,.477,.477,23,39,.590,15,12,85
D.J. Augustin,augusdj01,ORL,31,15,90,230,.391,.487,46,55,.836,95,35,270
Luke Babbitt,babbilu01,MIA,23,11,30,92,.326,.440,7,9,.778,9,8,88
Ron Baker,bakerro01,NYK,10,0,14,38,.368,.421,2,4,.500,9,8,34
Wade Baldwin,baldwwa01,MEM,20,1,26,81,.321,.333,23,28,.821,43,30,77
Leandro Barbosa,barbole01,PHO,28,0,78,165,.473,.527,6,8,.750,30,9,180
J.J. Barea,bareajo01,DAL,11,5,57,139,.410,.478,27,28,.964,57,19,160
