Player,Tm,GP,W,L,Min,PassesMade,PassesReceived,Ast,FTAst,SecondaryAst,PotentialAst,AstPtsCreated,AstAdj,AstToPassRatio,AstToPassRatioAdj
Chris Paul,LAC,30,22,8,944,2011,2209,288,30,44,507,666,363,14.3,18.1
James Harden,HOU,30,22,8,1102,2001,2459,352,29,51,648,850,432,17.6,21.6
Damian Lillard,POR,31,13,18,1107,1911,2378,187,24,50,375,450,261,9.8,13.7
Tim Frazier,NOP,30,9,21,912,1839,1933,220,13,35,421,497,268,12,14.6
Eric Bledsoe,PHX,29,8,21,936,1821,2066,154,12,33,326,366,199,8.5,10.9
Sergio Rodriguez,PHI,27,6,21,737,1794,1954,171,17,34,356,406,222,9.5,12.4
Russell Westbrook,OKC,29,17,12,1018,1757,2220,312,33,35,579,715,381,17.8,21.7
Draymond Green,GSW,28,24,4,917,1729,1337,202,16,40,372,482,257,11.7,14.9
Jeff Teague,IND,31,15,16,998,1726,2037,226,18,45,457,530,289,13.1,16.7
Kemba Walker,CHA,28,16,12,938,1646,2019,154,21,43,325,384,217,9.4,13.2
Ish Smith,DET,30,14,16,801,1639,1796,173,9,27,324,409,209,10.6,12.8
Kyle Lowry,TOR,26,19,7,965,1633,1823,193,28,39,350,458,260,11.8,15.9
Rajon Rondo,CHI,23,11,12,717,1617,1559,172,17,26,320,382,215,10.6,13.3
Elfrid Payton,ORL,31,13,18,892,1602,1852,173,23,42,378,403,238,10.8,14.9
Dennis Schroder,ATL,28,13,15,864,1566,1937,178,16,49,363,420,245,11.4,15.6
Stephen Curry,GSW,30,26,4,991,1543,1837,176,15,71,324,413,263,11.4,17
Goran Dragic,MIA,25,9,16,860,1533,1839,167,12,31,324,405,210,10.9,13.7
John Wall,WAS,26,13,13,942,1525,1968,251,23,39,474,581,312,16.5,20.5
Isaiah Thomas,BOS,25,16,9,832,1506,1999,153,7,40,310,376,201,10.2,13.3
Blake Griffin,LAC,26,19,7,875,1505,1466,123,6,14,214,298,142,8.2,9.4
TJ McConnell,PHI,28,7,21,544,1490,1495,134,15,22,284,329,171,9,11.5
Ricky Rubio,MIN,23,7,16,725,1470,1490,159,14,39,305,364,212,10.8,14.4
